date,symbol,marketcapname,sector
10-01-2023,SCHNEIDER,Midcap,FMCG
11-01-2023,CGPOWER,Largecap,FMCG
11-01-2023,IOC,Largecap,Industrials
11-01-2023,SCHNEIDER,Midcap,FMCG
12-01-2023,MARKSANS,Midcap,Pharmaceuticals
12-01-2023,RATEGAIN,Midcap,I.T
12-01-2023,PNCINFRA,Midcap,Realty
13-01-2023,CGPOWER,Largecap,FMCG
13-01-2023,CIEINDIA,Midcap,Industrials
18-01-2023,HINDZINC,Largecap,Metals
18-01-2023,SURYAROSNI,Midcap,Metals
18-01-2023,HINDCOPPER,Midcap,Metals
18-01-2023,OIL,Largecap,Oils
19-01-2023,HINDZINC,Largecap,Metals
19-01-2023,SURYAROSNI,Midcap,Metals
19-01-2023,SWANENERGY,Midcap,Textiles
19-01-2023,USHAMART,Midcap,Metals
19-01-2023,CIEINDIA,Midcap,Industrials
19-01-2023,BECTORFOOD,Midcap,FMCG
20-01-2023,SWANENERGY,Midcap,Textiles
20-01-2023,RAJESHEXPO,Midcap,Miscellaneous
20-01-2023,JWL,Midcap,FMCG
23-01-2023,PERSISTENT,Largecap,I.T
23-01-2023,JWL,Midcap,FMCG
24-01-2023,RAJESHEXPO,Midcap,Miscellaneous
24-01-2023,SONATSOFTW,Midcap,I.T
24-01-2023,GRAVITA,Midcap,Metals
25-01-2023,GRAVITA,Midcap,Metals
27-01-2023,JWL,Midcap,FMCG
30-01-2023,JINDALSAW,Midcap,Metals
30-01-2023,JWL,Midcap,FMCG
31-01-2023,JWL,Midcap,FMCG
01-02-2023,APARINDS,Midcap,FMCG
02-02-2023,JINDALSAW,Midcap,Metals
02-02-2023,KPITTECH,Largecap,I.T
02-02-2023,PERSISTENT,Largecap,I.T
02-02-2023,PNCINFRA,Midcap,Realty
03-02-2023,AEGISCHEM,Midcap,Services
03-02-2023,CARBORUNIV,Largecap,FMCG
03-02-2023,RAJESHEXPO,Midcap,Miscellaneous
06-02-2023,M&MFIN,Largecap,Finance
07-02-2023,BECTORFOOD,Midcap,FMCG
08-02-2023,JINDALSAW,Midcap,Metals
08-02-2023,RAJESHEXPO,Midcap,Miscellaneous
08-02-2023,ACE,Midcap,FMCG
09-02-2023,KPITTECH,Largecap,I.T
09-02-2023,ACE,Midcap,FMCG
10-02-2023,JINDALSAW,Midcap,Metals
10-02-2023,KPITTECH,Largecap,I.T
10-02-2023,BECTORFOOD,Midcap,FMCG
13-02-2023,CGPOWER,Largecap,FMCG
14-02-2023,OIL,Largecap,Oils
15-02-2023,FINCABLES,Midcap,Industrials
15-02-2023,JINDALSAW,Midcap,Metals
15-02-2023,ZENTEC,Midcap,I.T
16-02-2023,CUMMINSIND,Largecap,FMCG
16-02-2023,ZENSARTECH,Midcap,I.T
16-02-2023,ACE,Midcap,FMCG
16-02-2023,OIL,Largecap,Oils
16-02-2023,APLAPOLLO,Largecap,Metals
17-02-2023,FINCABLES,Midcap,Industrials
17-02-2023,ZENSARTECH,Midcap,I.T
17-02-2023,ZENTEC,Midcap,I.T
20-02-2023,SONATSOFTW,Midcap,I.T
20-02-2023,ZENTEC,Midcap,I.T
21-02-2023,IONEXCHANG,Midcap,FMCG
21-02-2023,SIEMENS,Largecap,FMCG
21-02-2023,ZENSARTECH,Midcap,I.T
21-02-2023,SYMPHONY,Midcap,FMCG
21-02-2023,MARKSANS,Midcap,Pharmaceuticals
22-02-2023,BLUESTARCO,Midcap,FMCG
22-02-2023,SYMPHONY,Midcap,FMCG
22-02-2023,CYIENT,Midcap,I.T
22-02-2023,IRB,Midcap,Realty
23-02-2023,FINCABLES,Midcap,Industrials
23-02-2023,IONEXCHANG,Midcap,FMCG
23-02-2023,ZENSARTECH,Midcap,I.T
23-02-2023,SONATSOFTW,Midcap,I.T
23-02-2023,EQUITASBNK,Midcap,Bank
24-02-2023,CIEINDIA,Midcap,Industrials
24-02-2023,ZENTEC,Midcap,I.T
28-02-2023,EQUITASBNK,Midcap,Bank
01-03-2023,TRITURBINE,Midcap,FMCG
02-03-2023,SONATSOFTW,Midcap,I.T
03-03-2023,FINCABLES,Midcap,Industrials
03-03-2023,KIRLFER,Midcap,Metals
03-03-2023,SUPRAJIT,Midcap,Auto
03-03-2023,POLICYBZR,Largecap,I.T
06-03-2023,FINCABLES,Midcap,Industrials
06-03-2023,GAIL,Largecap,Industrials
06-03-2023,JSL,Largecap,Metals
06-03-2023,SUPRAJIT,Midcap,Auto
06-03-2023,MGL,Midcap,Industrials
08-03-2023,GAIL,Largecap,Industrials
08-03-2023,JSL,Largecap,Metals
08-03-2023,PFC,Largecap,Finance
08-03-2023,KIRLOSENG,Midcap,FMCG
08-03-2023,JSLHISAR,Midcap,Metals
08-03-2023,MGL,Midcap,Industrials
