date,symbol,marketcapname,sector
24-01-2023,NAHARSPING,Smallcap,Textiles
24-01-2023,PRIMESECU,Smallcap,Finance
24-01-2023,SHREECEM,Largecap,Industrials
24-01-2023,WSTCSTPAPR,Smallcap,Industrials
24-01-2023,ITDCEM,Smallcap,Realty
24-01-2023,MOHEALTH,Smallcap,Indices
24-01-2023,KEEPLEARN,Smallcap,Services
24-01-2023,PPLPHARMA,Midcap,Pharmaceuticals
24-01-2023,RAJRATAN,Smallcap,Metals
24-01-2023,NITIRAJ,Smallcap,FMCG
24-01-2023,MCL,Smallcap,Industrials
24-01-2023,FLUOROCHEM,Largecap,Industrials
24-01-2023,EBBETF0423,Smallcap,Indices
24-01-2023,HAPPSTMNDS,Midcap,I.T
24-01-2023,ROUTE,Midcap,I.T
24-01-2023,SAREGAMA,Midcap,Media
24-01-2023,SONATSOFTW,Midcap,I.T
24-01-2023,RAMCOSYS,Smallcap,I.T
24-01-2023,UBL,Largecap,FMCG
24-01-2023,JKCEMENT,Largecap,Industrials
24-01-2023,SUNTV,Largecap,Media
24-01-2023,FLEXITUFF,Smallcap,Services
24-01-2023,GRINFRA,Midcap,Realty
24-01-2023,WONDERLA,Smallcap,Media
24-01-2023,LATENTVIEW,Midcap,I.T
25-01-2023,KSB,Midcap,FMCG
25-01-2023,APOLLOTYRE,Largecap,Auto
25-01-2023,NCLIND,Smallcap,Industrials
25-01-2023,ELECON,Midcap,FMCG
25-01-2023,GABRIEL,Smallcap,Auto
25-01-2023,VSTIND,Midcap,FMCG
25-01-2023,AJMERA,Smallcap,Realty
25-01-2023,DBOL,Smallcap,FMCG
25-01-2023,SUBROS,Smallcap,Auto
25-01-2023,ICICI10GS,Smallcap,Indices
25-01-2023,MMFL,Smallcap,Industrials
25-01-2023,HIKAL,Smallcap,Pharmaceuticals
25-01-2023,MCL,Smallcap,Industrials
25-01-2023,LAOPALA,Smallcap,Industrials
25-01-2023,ZODIAC,Smallcap,Realty
25-01-2023,HDFCAMC,Largecap,Finance
25-01-2023,SETFNN50,Smallcap,Indices
25-01-2023,BSLNIFTY,Smallcap,Indices
25-01-2023,SAREGAMA,Midcap,Media
25-01-2023,MARUTI,Largecap,Auto
25-01-2023,IDFC,Largecap,Finance
25-01-2023,M&MFIN,Largecap,Finance
25-01-2023,SUNTV,Largecap,Media
25-01-2023,FMNL,Smallcap,Miscellaneous
25-01-2023,GRINFRA,Midcap,Realty
27-01-2023,KCP,Smallcap,Industrials
27-01-2023,GTL,Smallcap,Telecom
27-01-2023,AGI,Smallcap,Services
27-01-2023,KSB,Midcap,FMCG
27-01-2023,APOLLOTYRE,Largecap,Auto
27-01-2023,GABRIEL,Smallcap,Auto
27-01-2023,SCHAEFFLER,Largecap,Industrials
27-01-2023,SHALPAINTS,Smallcap,Industrials
27-01-2023,VSTIND,Midcap,FMCG
27-01-2023,GANDHITUBE,Smallcap,Metals
27-01-2023,AJMERA,Smallcap,Realty
27-01-2023,WELSPUNIND,Midcap,Textiles
27-01-2023,HDFCLOWVOL,Smallcap,Indices
27-01-2023,MMFL,Smallcap,Industrials
27-01-2023,VENKEYS,Smallcap,Miscellaneous
27-01-2023,CDSL,Midcap,Miscellaneous
27-01-2023,HIKAL,Smallcap,Pharmaceuticals
27-01-2023,LIBERTSHOE,Smallcap,FMCG
27-01-2023,SILVERTUC,Smallcap,I.T
27-01-2023,ZODIAC,Smallcap,Realty
27-01-2023,DBSTOCKBRO,Smallcap,Services
27-01-2023,SETFNN50,Smallcap,Indices
27-01-2023,FDC,Midcap,Pharmaceuticals
27-01-2023,ICICIBANKN,Smallcap,Indices
27-01-2023,VISHWARAJ,Smallcap,FMCG
27-01-2023,ICICIALPLV,Smallcap,Indices
27-01-2023,WELENT,Smallcap,Realty
27-01-2023,KTKBANK,Midcap,Bank
27-01-2023,IDFC,Largecap,Finance
27-01-2023,M&MFIN,Largecap,Finance
27-01-2023,PGIL,Smallcap,FMCG
27-01-2023,DELTACORP,Smallcap,Miscellaneous
27-01-2023,FMNL,Smallcap,Miscellaneous
