BuyDate,NiftyClose,Strike,ExpiryCode,ExpiryDate,2026-01-01,2026-01-02,2026-01-05,2026-01-06,2026-01-07,2026-01-08,2026-01-09,2026-01-12,2026-01-13,2026-01-14,2026-01-16,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-27
2026-01-01,26146.55,26150,26JAN,2026-01-27,482.8,539.25,482.8,451.9,416.75,433.45,513.6,472.7,485.9,512.65,476.35,579.7,894.35,981.4,781.15,1071.25,977.05
2026-01-02,26328.55,26350,26JAN,2026-01-27,,468.2,448.95,430.6,412.0,506.25,643.45,578.25,628.0,679.6,633.35,762.8,1106.6,1174.05,1000.15,1285.8,1180.45
2026-01-05,26250.3,26250,26JAN,2026-01-27,,,458.1,433.3,406.1,461.45,574.7,515.4,554.2,593.1,551.25,693.6,983.6,1084.6,911.5,1180.5,1078.5
2026-01-06,26178.7,26200,26JAN,2026-01-27,,,,440.65,409.7,446.45,541.45,490.2,514.0,557.65,509.7,621.4,944.25,1035.75,853.15,1126.3,1026.6
2026-01-07,26140.75,26150,26JAN,2026-01-27,,,,,416.75,433.45,513.6,472.7,485.9,512.65,476.35,579.7,894.35,981.4,781.15,1071.25,977.05
2026-01-08,25876.85,25900,26JAN,2026-01-27,,,,,,431.2,431.1,422,394.65,394.3,358.0,388.35,666.75,736.65,553,825.2,726.65
2026-01-09,25683.3,25700,26JAN,2026-01-27,,,,,,,439.35,455.65,397.8,372.3,347.85,311.15,494.05,559.15,381.5,635.9,525.8
2026-01-12,25790.25,25800,26JAN,2026-01-27,,,,,,,,431.0,387.65,374.65,342.85,343.6,582.05,642.85,467.9,731.65,625.05
2026-01-13,25732.3,25750,26JAN,2026-01-27,,,,,,,,,390.05,370.05,342.2,322.05,534.55,600.7,441.05,687.4,575.05
2026-01-14,25665.6,25650,26JAN,2026-01-27,,,,,,,,,,379.15,357.2,306.3,464.65,518.05,349.5,586.85,475.55
2026-01-16,25694.35,25700,26JAN,2026-01-27,,,,,,,,,,,347.85,311.15,494.05,559.15,381.5,635.9,525.8
2026-01-19,25585.5,25600,26JAN,2026-01-27,,,,,,,,,,,,306.2,423.0,476.95,310.95,533.35,423.85
2026-01-20,25232.5,25250,26JAN,2026-01-27,,,,,,,,,,,,,316.65,312.95,258.1,259.75,74.6
2026-01-21,25157.5,25150,26JAN,2026-01-27,,,,,,,,,,,,,,315.95,299.6,224.1,25.4
2026-01-22,25289.9,25300,26JAN,2026-01-27,,,,,,,,,,,,,,,245.9,286.6,124.2
2026-01-23,25048.65,25050,26JAN,2026-01-27,,,,,,,,,,,,,,,,222.05,125.05
2026-01-27,25175.4,25200,26JAN,2026-01-27,,,,,,,,,,,,,,,,,24.55
